"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30002","test_duckduckgo_json_driven[webkit-Senior QA Interview Questions]","tests","Wed Apr 01 16:40:44 UTC 2026","broken","Wed Apr 01 16:41:14 UTC 2026","","test_smoke","",""
"","30065","test_api_create_and_ui_verify[webkit]","tests","Wed Apr 01 16:39:44 UTC 2026","broken","Wed Apr 01 16:40:14 UTC 2026","","test_hybrid","",""
"","1204","test_duckduckgo_json_driven[firefox-This String Will Definitely Not Be In The Title]","tests","Mon Mar 30 16:36:40 UTC 2026","failed","Mon Mar 30 16:36:41 UTC 2026","","test_smoke","",""
"","322","test_duckduckgo_json_driven[firefox-Playwright Python Automation]","tests","Mon Mar 30 16:45:22 UTC 2026","passed","Mon Mar 30 16:45:23 UTC 2026","","test_smoke","",""
"","374","test_duckduckgo_json_driven[firefox-Playwright Python]","tests","Mon Mar 30 16:45:29 UTC 2026","passed","Mon Mar 30 16:45:29 UTC 2026","","test_smoke","",""
"","31","test_save_storage_state[webkit]","tests","Wed Apr 01 16:39:43 UTC 2026","broken","Wed Apr 01 16:39:43 UTC 2026","","test_auth","",""
"","648","test_duckduckgo_json_driven[chromium-Playwright Python]","tests","Mon Mar 30 17:50:06 UTC 2026","passed","Mon Mar 30 17:50:06 UTC 2026","","test_smoke","",""
"","30002","test_duckduckgo_json_driven[webkit-Pytest Parametrize Tutorial]","tests","Wed Apr 01 16:41:45 UTC 2026","broken","Wed Apr 01 16:42:15 UTC 2026","","test_smoke","",""
"","30002","test_duckduckgo_json_driven[webkit-Playwright Python Automation]","tests","Wed Apr 01 16:40:14 UTC 2026","broken","Wed Apr 01 16:40:44 UTC 2026","","test_smoke","",""
"","750","test_duckduckgo_json_driven[chromium-OmniStore E-commerce Testing]","tests","Mon Mar 30 17:50:03 UTC 2026","passed","Mon Mar 30 17:50:04 UTC 2026","","test_smoke","",""
"","899","test_duckduckgo_json_driven[chromium-This String Will Definitely Not Be In The Title]","tests","Mon Mar 30 16:36:24 UTC 2026","failed","Mon Mar 30 16:36:25 UTC 2026","","test_smoke","",""
"","328","test_duckduckgo_json_driven[firefox-OmniStore E-commerce Testing]","tests","Mon Mar 30 16:45:26 UTC 2026","passed","Mon Mar 30 16:45:26 UTC 2026","","test_smoke","",""
"","2316","test_duckduckgo_search_data_driven[Playwright Python]","tests","Sat Mar 28 18:39:25 UTC 2026","passed","Sat Mar 28 18:39:27 UTC 2026","","test_smoke","",""
"","30001","test_duckduckgo_json_driven[webkit-Playwright Python]","tests","Wed Apr 01 16:42:15 UTC 2026","broken","Wed Apr 01 16:42:45 UTC 2026","","test_smoke","",""
"","323","test_duckduckgo_json_driven[firefox-Pytest Parametrize Tutorial]","tests","Mon Mar 30 16:45:27 UTC 2026","passed","Mon Mar 30 16:45:27 UTC 2026","","test_smoke","",""
"","2244","test_duckduckgo_json_driven[ThisWillDefinitelyFailTheAssertion]","tests","Mon Mar 30 16:07:01 UTC 2026","passed","Mon Mar 30 16:07:03 UTC 2026","","test_smoke","",""
"","2228","test_duckduckgo_json_driven[OmniStore E-commerce Testing]","tests","Mon Mar 30 16:25:15 UTC 2026","passed","Mon Mar 30 16:25:17 UTC 2026","","test_smoke","",""
"","127","test_create_new_order","tests","Wed Apr 01 16:39:40 UTC 2026","passed","Wed Apr 01 16:39:40 UTC 2026","","test_api","",""
"","2213","test_duckduckgo_json_driven[Senior QA Interview Questions]","tests","Mon Mar 30 16:25:13 UTC 2026","passed","Mon Mar 30 16:25:15 UTC 2026","","test_smoke","",""
"","623","test_duckduckgo_json_driven[chromium-Pytest Parametrize Tutorial]","tests","Mon Mar 30 17:50:05 UTC 2026","passed","Mon Mar 30 17:50:05 UTC 2026","","test_smoke","",""
